City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
305,Mogadishu,SO,2.0371,45.3438,77.07,80,24,21.25,few clouds
306,Bam,IR,29.106,58.357,53.65,39,5,3.2,clear sky
307,Norman Wells,CA,65.282,-126.8329,-21.96,76,75,3.44,broken clouds
308,Maniitsoq,GL,65.4167,-52.9,8.44,72,100,26.66,light snow
309,Belluno,IT,46.145,12.2214,36.88,69,17,1.01,few clouds
310,Yashan,CN,22.1975,109.9419,49.17,79,99,10.4,overcast clouds
311,Lompoc,US,34.6391,-120.4579,72.09,48,0,8.05,clear sky
312,Cabedelo,BR,-6.9811,-34.8339,79.47,79,72,8.84,broken clouds
313,Rawson,AR,-43.3002,-65.1023,81.68,34,71,12.19,broken clouds
314,Husavik,IS,66.0449,-17.3389,33.71,77,49,18.99,scattered clouds
315,Norfolk,US,42.1668,-71.2495,18.09,91,100,1.99,haze
316,Povenets,RU,62.8487,34.8262,13.86,94,100,12.06,overcast clouds
317,Port Blair,IN,11.6667,92.75,75.79,79,52,9.73,broken clouds
318,Namatanai,PG,-3.6667,152.4333,81.66,77,100,2.1,overcast clouds
319,Longyearbyen,SJ,78.2186,15.6401,8.44,66,0,16.11,clear sky
320,Bourail,NC,-21.5667,165.4833,82.17,78,52,8.12,broken clouds
321,Alyangula,AU,-13.8483,136.4192,82.45,78,100,17.67,heavy intensity rain
322,Sumbawanga,TZ,-7.9667,31.6167,57.31,87,100,1.36,overcast clouds
323,Polikhronon,GR,40.0166,23.5283,40.39,67,91,8.59,overcast clouds
324,Nyuksenitsa,RU,60.4128,44.2397,12.99,97,92,5.28,overcast clouds
325,Daitari,IN,21.1,85.75,53.28,40,30,3.74,scattered clouds
326,Sarahan,IN,31.5167,77.8,29.1,53,1,10.89,clear sky
327,Pinega,RU,64.7001,43.3936,9.19,97,99,6.76,overcast clouds
328,Norrtalje,SE,59.758,18.705,42.73,93,100,8.43,overcast clouds
329,Mapiripan,CO,2.8892,-72.1256,91.35,33,100,5.79,overcast clouds
330,Ouadda,CF,8.0777,22.4007,64.71,25,50,5.41,scattered clouds
331,Tura,IN,25.5198,90.2201,50.23,62,0,2.53,clear sky
332,Upernavik,GL,72.7868,-56.1549,3.04,92,100,9.6,overcast clouds
333,Buin,CL,-33.7333,-70.75,80.06,46,0,12.35,clear sky
334,Imperial,US,33.0334,-115.4175,73.08,10,90,5.48,overcast clouds
335,Blyznyuky,UA,48.8578,36.5551,26.4,95,100,11.27,overcast clouds
336,Pirojpur,BD,22.5667,89.9833,55.6,51,0,2.62,clear sky
337,Auki,SB,-8.7676,160.7034,81.99,81,99,6.11,overcast clouds
338,Rio Grande,BR,-32.035,-52.0986,73.94,63,0,12.88,clear sky
339,Ugoofaaru,MV,5.6667,73.0,82.06,70,76,16.53,broken clouds
